batch,repo,category,rank_in_category,usage,sample_index,file,line_count,sample_status,q01_clear_receiver_owner,q01_clear_receiver_owner_answer,q02_sender_cloning,q02_sender_cloning_answer,q03_receiver_loop,q03_receiver_loop_answer,q04_mailbox_pattern,q04_mailbox_pattern_answer,q05_fan_in,q05_fan_in_answer,q06_fan_out,q06_fan_out_answer,q07_worker_queue,q07_worker_queue_answer,q08_shutdown_signal,q08_shutdown_signal_answer,q09_data_transport,q09_data_transport_answer,q10_command_messages,q10_command_messages_answer,q11_notification_messages,q11_notification_messages_answer,q12_background_dispatch,q12_background_dispatch_answer,q13_cross_thread_usage,q13_cross_thread_usage_answer,q14_cross_async_task_usage,q14_cross_async_task_usage_answer
3,sxyazi/yazi,mpmc_competing_consumers,3,INSTRUMENTAL_TO_ARCHITECTURE,1,yazi-scheduler/src/worker.rs,295,analyzable,1,true,0,false,1,true,0,false,0,false,0,false,1,true,0,false,1,true,1,true,0,false,1,true,0,false,1,true
3,sxyazi/yazi,mpmc_competing_consumers,3,INSTRUMENTAL_TO_ARCHITECTURE,2,yazi-dds/src/pump.rs,109,analyzable,1,true,0,false,1,true,0,false,1,true,0,false,0,false,1,true,1,true,1,true,1,true,1,true,0,false,1,true
3,sxyazi/yazi,mpmc_competing_consumers,3,INSTRUMENTAL_TO_ARCHITECTURE,3,yazi-actor/src/tasks/inspect.rs,81,analyzable,1,true,0,false,1,true,0,false,0,false,0,false,0,false,0,false,1,true,0,false,1,true,1,true,0,false,1,true
3,sxyazi/yazi,mpmc_competing_consumers,3,INSTRUMENTAL_TO_ARCHITECTURE,4,yazi-vfs/src/files.rs,79,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,1,true,1,true,0,false,0,false,1,true,0,false,1,true
3,sxyazi/yazi,mpmc_competing_consumers,3,INSTRUMENTAL_TO_ARCHITECTURE,5,yazi-plugin/src/external/rg.rs,46,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,1,true,0,false,1,true
3,wezterm/wezterm,oneshot,3,INSTRUMENTAL_TO_ARCHITECTURE,1,window/src/os/wayland/window.rs,1537,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,0,false
3,wezterm/wezterm,oneshot,3,INSTRUMENTAL_TO_ARCHITECTURE,2,mux/src/ssh.rs,1148,analyzable,1,true,0,false,1,true,0,false,0,false,0,false,0,false,0,false,1,true,0,false,1,true,1,true,1,true,1,true
3,wezterm/wezterm,oneshot,3,INSTRUMENTAL_TO_ARCHITECTURE,3,config/src/lib.rs,834,analyzable,1,true,0,false,1,true,0,false,0,false,0,false,0,false,0,false,1,true,0,false,1,true,1,true,1,true,0,false
3,wezterm/wezterm,oneshot,3,INSTRUMENTAL_TO_ARCHITECTURE,4,promise/src/spawn.rs,250,analyzable,1,true,1,true,0,false,0,false,0,false,0,false,1,true,0,false,1,true,1,true,0,false,1,true,1,true,0,false
3,wezterm/wezterm,oneshot,3,INSTRUMENTAL_TO_ARCHITECTURE,5,wezterm/src/asciicast.rs,672,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,0,false,1,true,1,true,0,false,1,true,0,false,1,true,0,false
4,helix-editor/helix,mpsc,4,INSTRUMENTAL_TO_ARCHITECTURE,1,helix-view/src/handlers/word_index.rs,509,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,1,true,0,false,1,true,1,true,0,false,1,true,0,false,1,true
4,helix-editor/helix,mpsc,4,INSTRUMENTAL_TO_ARCHITECTURE,2,helix-dap/src/transport.rs,324,analyzable,1,true,0,false,1,true,1,true,1,true,0,false,0,false,1,true,1,true,1,true,1,true,1,true,0,false,1,true
4,helix-editor/helix,mpsc,4,INSTRUMENTAL_TO_ARCHITECTURE,3,helix-dap/src/client.rs,549,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,0,false,0,false,1,true,1,true,1,true,1,true,0,false,1,true
4,helix-editor/helix,mpsc,4,INSTRUMENTAL_TO_ARCHITECTURE,4,helix-loader/src/grammar.rs,652,analyzable,1,true,1,true,0,false,0,false,1,true,0,false,0,false,0,false,1,true,0,false,0,false,0,false,1,true,0,false
4,helix-editor/helix,mpsc,4,INSTRUMENTAL_TO_ARCHITECTURE,5,helix-view/src/editor.rs,2514,analyzable,1,true,0,false,1,true,1,true,0,false,0,false,0,false,0,false,1,true,0,false,1,true,0,false,0,false,0,false
4,wasmerio/wasmer,mpmc_competing_consumers,4,INSTRUMENTAL_TO_ARCHITECTURE,1,lib/wasix/src/runtime/task_manager/tokio.rs,363,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,1,true,0,false,1,true,0,false
4,wasmerio/wasmer,mpmc_competing_consumers,4,INSTRUMENTAL_TO_ARCHITECTURE,2,lib/journal/src/concrete/pipe.rs,143,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,0,false,0,false,0,false
4,wasmerio/wasmer,mpmc_competing_consumers,4,INSTRUMENTAL_TO_ARCHITECTURE,3,lib/c-api/src/wasm_c_api/wasi/mod.rs,763,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,0,false,0,false,0,false
